#Top: Test_wrapper   Floorplan: impl_1   Part: xc7z030ffg676-2;;;;;;;;;;;;;;;;;;;;;;;;;;
#Generated by: Muhammed   on: Fri Jul 19 09:32:35 2024;;;;;;;;;;;;;;;;;;;;;;;;;;
#Build: Vivado v2022.2   by: xbuild   on: Fri Oct 14 05:00:03 MDT 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
#Package Version: FINAL 2013-01-16;;;;;;;;;;;;;;;;;;;;;;;;;;
#Package Pin Delay Version: VERS. 2.0 2013-01-16;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
IO Bank;Pin Number;Site;Site Type;Min Trace Delay (ps);Max Trace Delay (ps);Avrg Trace Delay (ps);Prohibit;Interface;Signal Name;Direction;DiffPair Type;DiffPair Signal;IO Standard;Drive (mA);Slew Rate;OUTPUT_IMPEDANCE;PRE_EMPHASIS;LVDS_PRE_EMPHASIS;EQUALIZATION;Pull Type;DQS_BIAS;IN_TERM;DIFF_TERM;OFFCHIP_TERM;Board Signal;Board Voltage
502;H24;IOPAD_X1Y68;PS_DDR_DQS_P0_502;119.198;120.396;119.797;;DDR_40162;DDR_dqs_p[0];INOUT;;;DIFF_SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;W25;IOPAD_X1Y67;PS_DDR_DQS_N3_502;112.575;113.707;113.141;;DDR_40162;DDR_dqs_n[3];INOUT;;;DIFF_SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;R25;IOPAD_X1Y66;PS_DDR_DQS_N2_502;105.734;106.796;106.265;;DDR_40162;DDR_dqs_n[2];INOUT;;;DIFF_SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;L25;IOPAD_X1Y65;PS_DDR_DQS_N1_502;90.389;91.298;90.844;;DDR_40162;DDR_dqs_n[1];INOUT;;;DIFF_SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;G25;IOPAD_X1Y64;PS_DDR_DQS_N0_502;119.134;120.331;119.733;;DDR_40162;DDR_dqs_n[0];INOUT;;;DIFF_SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;Y23;IOPAD_X1Y22;PS_DDR_CAS_B_502;125.425;126.686;126.056;;DDR_40162;DDR_cas_n;OUT;;;SSTL15;;SLOW;;;;;;;;;FP_VTT_50;;
502;P21;IOPAD_X1Y24;PS_DDR_CKN_502;97.323;98.301;97.812;;DDR_40162;DDR_ck_n;IN;;;DIFF_SSTL15;;FAST;;;;;;;;;FP_VTT_50;;
502;R21;IOPAD_X1Y25;PS_DDR_CKP_502;97.332;98.310;97.821;;DDR_40162;DDR_ck_p;IN;;;DIFF_SSTL15;;FAST;;;;;;;;;FP_VTT_50;;
502;U21;IOPAD_X1Y23;PS_DDR_CKE_502;103.019;104.055;103.537;;DDR_40162;DDR_cke;OUT;;;SSTL15;;SLOW;;;;;;;;;FP_VTT_50;;
502;Y21;IOPAD_X1Y27;PS_DDR_CS_B_502;123.386;124.626;124.006;;DDR_40162;DDR_cs_n;OUT;;;SSTL15;;SLOW;;;;;;;;;FP_VTT_50;;
